grid_point,index,value,sampled_n
gp_185,E20,0.4964839544521477,40
gp_186,N0,10.998,40
gp_186,N1,7.238398197276542,40
gp_186,N2,5.674219495546904,40
gp_186,E10,0.6622061390138999,40
gp_186,E20,0.5217546284628899,40
gp_187,N0,10.431,40
gp_187,N1,8.57584024696269,40
gp_187,N2,7.275212405419267,40
gp_187,E10,0.8221668483414539,40
gp_187,E20,0.6985782145948444,40
gp_188,N0,12.067,40
gp_188,N1,9.159416057693559,40
gp_188,N2,7.823111029141757,40
gp_188,E10,0.7619497357969603,40
gp_188,E20,0.6524270618715571,40
gp_189,N0,6.719,40
gp_189,N1,4.810020488867547,40
gp_189,N2,3.929059450426363,40
gp_189,E10,0.7198253166126369,40
gp_189,E20,0.5907709445470468,40
gp_19,N0,11.406,40
gp_19,N1,8.022917732606118,40
gp_19,N2,6.4269147668158695,40
gp_19,E10,0.7067673683674937,40
gp_19,E20,0.5680274928353318,40
gp_190,N0,5.653,40
gp_190,N1,3.852837177545121,40
gp_190,N2,3.396549469446352,40
gp_190,E10,0.6971943719344006,40
gp_190,E20,0.6201069142617551,40
gp_191,N0,6.853,40
gp_191,N1,4.968576884206127,40
gp_191,N2,4.154768276484938,40
gp_191,E10,0.7297927766030464,40
gp_191,E20,0.6134168068503553,40
gp_192,N0,5.517,40
gp_192,N1,3.7816159802017753,40
gp_192,N2,3.1571025628205938,40
gp_192,E10,0.6929327315429602,40
gp_192,E20,0.5816732029910845,40
gp_193,N0,5.077,40
gp_193,N1,3.211491702115528,40
gp_193,N2,2.4358584394591634,40
gp_193,E10,0.6359171902065492,40
gp_193,E20,0.4847159178916509,40
gp_194,N0,5.271,40
gp_194,N1,2.9664574931567707,40
gp_194,N2,2.172175597211533,40
gp_194,E10,0.5670329922955436,40
gp_194,E20,0.4191263407253363,40
gp_195,N0,7.387,40
gp_195,N1,4.882867889400564,40
gp_195,N2,3.70089263538632,40
gp_195,E10,0.6662158318895434,40
gp_195,E20,0.5077784706460837,40
gp_196,N0,12.802,40
gp_196,N1,8.330612226238838,40
gp_196,N2,5.701121951456255,40
gp_196,E10,0.6499932167221071,40
gp_196,E20,0.4460965564137165,40
gp_197,N0,5.809,40
gp_197,N1,2.119581634504386,40
gp_197,N2,1.4799494626963108,40
gp_197,E10,0.3952374312977102,40
gp_197,E20,0.29581070269494675,40
gp_198,N0,9.531,40
gp_198,N1,5.523110603435143,40
gp_198,N2,4.163287147252976,40
gp_198,E10,0.5847312898843127,40
gp_198,E20,0.44312219354685994,40
gp_199,N0,5.065,40
gp_199,N1,3.8659570883411596,40
gp_199,N2,3.3651061964502182,40
gp_199,E10,0.7735882344168182,40
gp_199,E20,0.6782193061369637,40
